Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
389.9,189,0,145.9,22,944.7,755.8,56,79.40005616
359,19,141,154,10.91,942,801,28,59.49488404
237.5,237.5,0,228,0,932,594,270,38.407950056
480,0,0,192,0,936.2,712.2,3,24.404692496
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.59882504
122.6,183.9,0,203.5,0,958.2,800.1,28,24.290928956
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.798273424
313.3,145,0,178.5,8,1001.9,688.7,28,41.053469468
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.459520796
446,24,79,162,10.3,967,712,56,54.76507868
349,0,0,192,0,1056,809,28,33.60506024
145,0,134,181,11,979,812,28,13.19657064
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
210.7,316.1,0,185.7,0,977,689.3,7,21.819846972
229.68,0,118.16,195.23,6.13,1028.1,757.63,14,22.31833812
480,0,0,192,0,936,721,90,54.27555072
288,121,0,177,7,908,829,28,42.13387836
135.7,203.5,0,185.7,0,1076.2,759.3,7,7.507014688
288,192,0,192,0,932,717.8,7,23.523542168
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,100,49.99390476
151,0,185,167,16,1074,678,28,13.45857152
239.6,359.4,0,185.7,0,941.6,664.3,7,25.422359072
132,207,161,179,5,867,736,28,33.3016908
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12320644
212.07,0,121.62,180.31,5.69,1057.6,779.32,28,24.90387312
333,17.5,163,167,17.9,996,652,28,47.27736932
302,0,0,203,0,974,817,180,26.74477404
149,139,109,193,6,892,780,28,23.69039536
145,116,119,184,5.7,833,880,28,29.15794004
385,0,0,186,0,966,763,14,27.923778
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.786922
190.34,0,125.18,161.85,9.88,1088.1,802.59,56,38.56239268
198.6,132.4,0,192,0,978.4,825.5,360,44.296075096
331,0,0,192,0,978,825,180,38.99676256
250,0,0,182,0,1100,820,28,20.87043852
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.265488324
313.3,145,0,178.5,8,867.2,824,28,40.925226932
277,0,0,191,0,968,856,28,25.96566616
296,0,0,186,0,1090,769,7,18.91232668
333,0,0,192,0,931.2,842.6,28,31.966865264
310,0,0,192,0,1012,830,120,38.70028788
,92.7403693070605,75.4473227510998,168.34467831484,8.17736018987723,1001.61199317099,772.738583166934,19.3342971653508,38.8690932807929
133,200,0,192,0,927.4,839.2,90,36.588422892
475,118.8,0,181.1,8.9,852.1,781.5,7,55.59934464
393,0,0,192,0,940,758,28,39.58281716
331,0,0,192,0,1025,821,7,17.43684804
316.1,210.7,0,185.7,0,977,689.3,28,38.70028788
165,0.02,143.57,163.81,0,1005.6,900.9,3,14.39625888
491,26,123,210,3.93,882,699,7,33.4888342847293
380,95,0,228,0,932,594,180,40.759063216
198.6,132.4,0,192,0,978.4,825.5,180,41.719503284
135,105,193,196,6,965,643,28,21.91154728
295,0,0,185,0,1069,769,28,25.17966352
153,239,0,200,6,1002,684,28,26.8550902
190.68,0,125.4,162.14,7.77,1090,804.01,14,21.0634918
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
342,38,0,228,0,932,670,180,52.1243856
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.611855104
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,14,30.38520732
387,20,94,157,13.93,938,845,3,25.510612
382,0,0,186,0,1047,739,7,24.00065956
376,0,0,214.6,0,1003.5,762.36,100,43.0577762
181.38,0,167.01,169.59,7.56,1055.6,777.8,100,45.3675208
251.37,0,118.27,192.94,5.75,1043.6,754.3,3,11.98309288
236,157,0,192,0,972.6,749.1,3,13.5654403
397,17.2,158,167,20.8,967,633,28,55.64760796
382.5,0,0,185.7,0,1047.8,739.3,28,37.437857324
355,19,97,145,12.25,967,871,28,55.45455468
337.9,189,0,174.9,9.5,944.7,755.8,28,49.89737812
310,0,0,192,0,971,850.6,3,9.86640156
446,24,79,162,11.61,967,712,28,57.02655996
157,236,0,192,0,935.4,781.2,90,43.377003588
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.4994406
,,,,11.4435348373062,875.586526238371,898.420902404072,85.6690764050391,56.7040926449062
284,15,141,179,5.46,842,801,3,13.3955337152707
159,149,116,175,15,953,720,28,27.67556664
197.41512043288,,85.0757062231849,174.843614961362,6.57685036494079,1041.69806568588,788.762967154292,24.5385036563237,29.6778011746188
266,114,0,228,0,932,670,180,48.695621452
310,0,0,192,0,970,850,90,34.6806428
304,76,0,228,0,932,670,28,47.813781648
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99482412
342,38,0,228,0,932,670,90,50.45930106
387,20,94,157,13.93,938,845,7,45.89841732
500,0,0,140,4,966,853,28,67.568648
222.36,0,96.67,189.29,4.46,967.08,870.32,56,29.44751996
385,0,0,186,0,966,763,1,6.26733684
190.34,0,125.18,161.85,9.88,1088.1,802.59,28,28.46846404
155,0,143,193,9,877,868,28,9.73540112
349,0,0,192,0,1047,806,180,41.05140104
237.5,237.5,0,228,0,932,594,90,33.116911232
133,210,0,196,3,949,795,28,31.02642
275.07,0,121.35,159.48,9.9,1053.6,777.5,56,56.8472962
500,0,0,200,0,1125,613,7,33.21205892
166.8,250.2,0,203.5,0,975.6,692.6,90,43.565230536
310,0,0,192,0,1012,830,90,35.76312012
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14,23.5111316
288,192,0,192,0,932,717.8,90,50.526869708
250,0,95.69,187.42,5.53,956.86,861.17,28,29.21999288
331,0,0,192,0,1025,821,3,14.306627
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,100,53.65502232
213.5,0,174.24,159.21,11.66,1043.6,771.9,56,51.25564584
231.75,0,121.62,173.96,6.72,1056.4,778.45,14,26.77235308
525,0,0,189,0,1125,613,3,33.79811352
140,164,128,237,6,869,656,28,35.22532884
231.75,0,121.62,173.96,6.72,1056.4,778.45,3,15.43736764
158.6,148.9,116,175.1,15,953.3,719.7,28,27.681082448
190.68,0,125.4,162.14,7.77,1090,804.01,28,26.40003604
337.9,189,0,174.9,9.5,944.7,755.8,56,59.89478012
331,0,0,192,0,1025,821,90,37.91428524
475,0,0,162,9.5,1044,662,28,58.52272288
200,133,0,192,0,965.4,806.2,7,17.165883972
295.8,0,0,185.7,0,1091.4,769.3,7,14.843728804
298.2,0,107,209.7,11.1,879.6,744.2,28,31.875164956
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.284354004
212.07,0,121.62,180.31,5.69,1057.6,779.32,14,20.91870184
190,190,0,228,0,932,670,365,53.692254024
281,0,0,186,0,1104,774,28,22.43554904
424,22,132,178,8.48,882,750,3,32.0113857152707
,,,,9.14076516570943,929.233767562141,849.183533810905,28,37.1916450049978
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
284,120,0,168,7,970,794,28,40.93419012
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.066249704
339,0,0,185,0,1069,754,7,21.16001844
229.68,0,118.16,195.23,6.13,1028.1,757.63,28,24.53845084
190,190,0,228,0,932,670,90,42.32693164
251.81,0,99.94,146.14,12.35,1006,899.76,14,33.35684888
339,0,0,197,0,968,781,14,27.04124872
520,0,0,175,5.2,870,805,28,51.021224
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5009994
310,143,0,168,10,914,804,28,45.2985732
427.5,47.5,0,228,0,932,594,180,41.836714204
250.2,166.8,0,203.5,0,977.6,694.1,90,47.714497104
154,144,112,220,10,923,658,28,16.49916068
382.5,0,0,185.7,0,1047.8,739.3,7,24.065470304
,,,182.15156377923,3.91967761586641,930.382669255433,840.832026573728,20.9654026994501,27.2095736910887
305.3,203.5,0,203.5,0,965.4,631,3,14.143910664
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.726068264
233.81,0,94.58,197.89,4.567,947.04,852.16,3,10.38350856
277,116.8,91,190.6,7,946.5,665.6,28,43.57833058
203.5,305.3,0,203.5,0,963.4,630,3,9.561653168
424,22,132,178,8.48,822,750,7,39.0046422847293
446,24,79,162,10.3,967,712,28,53.38612668
356,0,142,193,11,801,778,28,40.86524252
500,0,0,200,0,1125,613,3,26.0621928
250,0,95.69,187.42,5.53,956.86,861.17,56,38.32797084
139.6,209.4,0,192,0,1047,806.9,28,28.23748958
165,128.5,132.1,175.06,8.08,1005.8,746.6,100,55.0201848
251.37,0,118.27,188.45,5.75,1028.4,757.73,28,29.65436276
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.245413568
520,0,0,170,5.2,855,855,28,60.28088668
393,0,0,192,0,940,758,90,48.79421652
297.16,0,117.54,174.8,9.52,1022.8,753.45,100,56.7438748
331,0,0,192,0,978,825,360,41.24445432
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.69782984
159,187,0,176,11,990,789,28,32.76389952
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.40055564
246.83,0,125.08,143.3,11.99,1086.8,800.89,14,42.21661548
190.34,0,125.18,166.61,9.88,1079,798.9,100,33.56369168
475,118.8,0,181.1,8.9,852.1,781.5,28,68.29949256
217.536121281527,,,167.440836323183,2.62773384480245,1036.87407661595,824.474381168052,19.1139435199917,28.0811043308968
314,0,113,170,10,925,783,28,38.45897128
